loss,Train,Validation,Test
2.430680990219116,0.2684888888888889,0.2694,0.2737
2.450876235961914,0.30133333333333334,0.3074,0.3165
2.129411458969116,0.3502222222222222,0.3482,0.3577
2.0768074989318848,0.3768222222222222,0.3884,0.3924
2.0258395671844482,0.40895555555555557,0.4082,0.4205
2.058877944946289,0.42331111111111114,0.4364,0.4232
2.078451156616211,0.4766222222222222,0.4774,0.4347
1.8314180374145508,0.5304666666666666,0.524,0.5134
1.9376927614212036,0.5681555555555555,0.5752,0.5449
1.9624279737472534,0.5782222222222222,0.5846,0.5501
1.981783151626587,0.6092,0.6136,0.6042
1.8547860383987427,0.6066666666666667,0.6072,0.5872
1.9577330350875854,0.6230666666666667,0.6206,0.5949
1.8426965475082397,0.6382222222222222,0.6382,0.5985
1.9600205421447754,0.6429111111111111,0.633,0.6224
2.0716493129730225,0.6617333333333333,0.6624,0.637
2.1117184162139893,0.6634888888888889,0.6588,0.6206
1.7453787326812744,0.6806888888888889,0.6744,0.6294
1.7108492851257324,0.6897111111111112,0.6724,0.6409
1.6851593255996704,0.6822888888888888,0.68,0.6464
1.9620301723480225,0.6904,0.6846,0.6477
1.7338652610778809,0.6993333333333334,0.694,0.6687
2.106320381164551,0.701,0.6974,0.6605
1.7694003582000732,0.709,0.705,0.6663
1.9545135498046875,0.7068444444444445,0.698,0.6746
2.0415210723876953,0.7077333333333333,0.7096,0.6621
1.838051438331604,0.7184666666666667,0.713,0.6757
1.9099253416061401,0.7142222222222222,0.7188,0.674
1.9508881568908691,0.7128222222222222,0.7106,0.6537
1.6088535785675049,0.7249555555555556,0.721,0.6633
1.8658653497695923,0.7137555555555556,0.7032,0.679
1.9689074754714966,0.7068222222222222,0.7062,0.6678
1.723097324371338,0.7180444444444445,0.7164,0.6617
1.8017791509628296,0.7254222222222222,0.7252,0.6813
1.8199326992034912,0.7356222222222222,0.7256,0.6925
1.6617895364761353,0.7220666666666666,0.7234,0.6926
1.7089004516601562,0.7499111111111111,0.7452,0.7229
1.8278615474700928,0.7250222222222222,0.7212,0.6685
1.9077122211456299,0.7477555555555555,0.7422,0.7093
2.0128564834594727,0.7528666666666667,0.7506,0.7165
1.5900708436965942,0.7490444444444444,0.7442,0.7078
1.7403546571731567,0.7461111111111111,0.7424,0.704
1.9225691556930542,0.7537333333333334,0.7512,0.7078
1.856798529624939,0.7594888888888889,0.7506,0.6986
1.5924521684646606,0.7589111111111111,0.7558,0.7242
1.986682653427124,0.7418444444444444,0.737,0.696
1.5875095129013062,0.7669111111111111,0.757,0.7177
1.9738612174987793,0.7643333333333333,0.7558,0.7067
1.9462435245513916,0.7713333333333333,0.7652,0.7167
1.9508334398269653,0.7758888888888889,0.771,0.7287
1.7110376358032227,0.7759333333333334,0.7666,0.7258
1.671915054321289,0.7806888888888889,0.774,0.7263
2.047267436981201,0.7799111111111111,0.773,0.7263
1.8977158069610596,0.801,0.7868,0.7538
1.5831235647201538,0.7947111111111111,0.7834,0.7304
1.675234317779541,0.7932222222222223,0.7914,0.732
1.8349627256393433,0.8014444444444444,0.7966,0.7519
1.5856335163116455,0.8038888888888889,0.7996,0.748
1.8301664590835571,0.7955555555555556,0.7878,0.7394
1.7752277851104736,0.8003777777777777,0.7944,0.7513
1.8505938053131104,0.8067333333333333,0.796,0.7565
1.5811291933059692,0.8147777777777778,0.8044,0.7478
1.811407208442688,0.8177555555555556,0.8088,0.7714
1.5699225664138794,0.8269111111111112,0.8074,0.7695
1.5513463020324707,0.8204666666666667,0.8118,0.7547
2.082512378692627,0.8345333333333333,0.8206,0.7764
1.4619568586349487,0.8313111111111111,0.8218,0.7704
1.7085707187652588,0.8394666666666667,0.8268,0.7857
1.7012569904327393,0.8414888888888888,0.8312,0.7848
1.8334885835647583,0.8460666666666666,0.8262,0.7811
1.5952248573303223,0.8474888888888888,0.8356,0.793
1.5851134061813354,0.8479777777777778,0.8378,0.794
1.6447374820709229,0.8606666666666667,0.8438,0.7956
1.4655406475067139,0.861,0.8426,0.8071
1.496180534362793,0.8695777777777778,0.8524,0.8153
1.707033395767212,0.8729555555555556,0.8586,0.8053
1.6929543018341064,0.8769111111111111,0.8594,0.8136
1.5833518505096436,0.8780666666666667,0.8618,0.8132
1.8199397325515747,0.8833111111111112,0.8616,0.8223
1.4615002870559692,0.8890444444444444,0.8652,0.8243
1.849426031112671,0.8898222222222222,0.8688,0.8253
1.887940526008606,0.8928222222222222,0.87,0.8272
1.5861501693725586,0.8988222222222222,0.8752,0.8305
1.4628889560699463,0.9012666666666667,0.8688,0.8317
1.5869886875152588,0.9019111111111111,0.8698,0.8247
1.5492920875549316,0.9045333333333333,0.8764,0.8288
1.5879441499710083,0.9113333333333333,0.878,0.8357
1.4902842044830322,0.9111555555555556,0.8768,0.8331
1.557346224784851,0.9137333333333333,0.8814,0.8345
1.7089507579803467,0.9174666666666667,0.8806,0.8401
1.5937989950180054,0.9176666666666666,0.886,0.8415
1.7295893430709839,0.9213333333333333,0.8862,0.8406
1.5680838823318481,0.9221333333333334,0.888,0.8425
1.5872912406921387,0.9218666666666666,0.889,0.8428
1.5729151964187622,0.9234888888888889,0.8862,0.8429
1.6014138460159302,0.9236666666666666,0.886,0.8416
1.4619228839874268,0.9247555555555556,0.8898,0.8435
1.50552499294281,0.9242666666666667,0.8864,0.844
1.7098134756088257,0.924,0.8904,0.8444
1.674399495124817,0.9259111111111111,0.8826,0.8443
