loss,Train,Validation,Test
2.2240891456604004,0.14097777777777779,0.143,0.1394
2.1564388275146484,0.21595555555555557,0.2224,0.2209
2.2894070148468018,0.21313333333333334,0.2172,0.2388
2.0709123611450195,0.1973777777777778,0.1898,0.2131
2.24934458732605,0.23971111111111112,0.2406,0.2575
2.404322862625122,0.2162888888888889,0.229,0.2294
1.9926869869232178,0.26937777777777777,0.272,0.2881
2.192864179611206,0.2694666666666667,0.271,0.277
1.9114724397659302,0.2764,0.2818,0.2951
2.200869083404541,0.2826444444444444,0.2858,0.296
2.2023403644561768,0.2692,0.2714,0.2826
2.165882110595703,0.29175555555555555,0.2994,0.3085
2.1029300689697266,0.28784444444444446,0.2876,0.3031
2.0996718406677246,0.2667777777777778,0.2596,0.2846
2.0568580627441406,0.2750444444444444,0.2804,0.2898
2.250533103942871,0.30573333333333336,0.305,0.32
2.2541306018829346,0.3003111111111111,0.2958,0.3231
1.9031274318695068,0.30095555555555553,0.3006,0.3173
2.254913568496704,0.32135555555555556,0.3366,0.3412
2.2310643196105957,0.33482222222222224,0.3444,0.3595
2.200056552886963,0.3489333333333333,0.3592,0.3662
1.9813816547393799,0.3476666666666667,0.347,0.365
2.125868797302246,0.35173333333333334,0.3542,0.3759
2.2858383655548096,0.35055555555555556,0.3584,0.3724
2.1971232891082764,0.36277777777777775,0.3674,0.3829
2.2086472511291504,0.3276,0.3356,0.3544
1.9565082788467407,0.3540888888888889,0.3574,0.3642
2.19244647026062,0.34095555555555557,0.3532,0.377
2.0881919860839844,0.3730222222222222,0.3744,0.3859
2.2831249237060547,0.3572,0.367,0.3677
2.1283135414123535,0.3750888888888889,0.3764,0.3954
2.233703851699829,0.3573777777777778,0.3694,0.3698
2.079843521118164,0.36506666666666665,0.3704,0.3807
2.1830666065216064,0.3778222222222222,0.3848,0.3905
2.131648540496826,0.3891777777777778,0.399,0.4143
1.91464102268219,0.3991777777777778,0.4004,0.4087
2.076878070831299,0.3853111111111111,0.3822,0.4049
2.189301013946533,0.36417777777777777,0.3774,0.3889
2.0810561180114746,0.36573333333333335,0.3808,0.3635
2.2884302139282227,0.3927777777777778,0.3926,0.4055
2.1843957901000977,0.40528888888888887,0.4146,0.4078
2.3772895336151123,0.4043111111111111,0.4174,0.4177
2.130101442337036,0.40026666666666666,0.4074,0.4228
1.8676681518554688,0.3961777777777778,0.4066,0.4172
2.1359493732452393,0.35473333333333334,0.3512,0.3775
1.997268795967102,0.40424444444444446,0.4108,0.4138
2.1601178646087646,0.38551111111111114,0.405,0.4001
1.9216551780700684,0.42404444444444445,0.4256,0.4303
2.3523972034454346,0.41102222222222223,0.4234,0.4321
2.0150558948516846,0.4011111111111111,0.4094,0.4228
2.3110930919647217,0.4208222222222222,0.4326,0.4365
2.24538516998291,0.3810222222222222,0.3932,0.3901
2.0340564250946045,0.4089777777777778,0.4154,0.4087
2.2370567321777344,0.40715555555555555,0.4086,0.4205
1.9133275747299194,0.4106888888888889,0.4206,0.4306
1.9972188472747803,0.4152,0.4234,0.4275
2.226458787918091,0.38864444444444446,0.3888,0.3828
2.1865127086639404,0.42295555555555553,0.4362,0.4401
1.957917332649231,0.3914222222222222,0.3892,0.3947
1.7984857559204102,0.4305777777777778,0.4376,0.4392
2.0194876194000244,0.4726444444444444,0.4722,0.4759
2.203768491744995,0.4845777777777778,0.4732,0.4881
1.9871751070022583,0.48893333333333333,0.4818,0.4933
2.043363332748413,0.492,0.4844,0.4942
1.6230987310409546,0.4953111111111111,0.4992,0.5003
2.115100860595703,0.49893333333333334,0.4946,0.4993
2.138171434402466,0.5039333333333333,0.5086,0.5082
2.2250051498413086,0.5085555555555555,0.5136,0.5009
2.0457100868225098,0.5063777777777778,0.5042,0.5072
1.858712911605835,0.5128444444444444,0.5094,0.5107
2.116117000579834,0.5105111111111111,0.5148,0.5085
1.9836084842681885,0.5168888888888888,0.51,0.5142
1.9811087846755981,0.5178222222222222,0.5138,0.511
1.848737120628357,0.5199111111111111,0.5168,0.5237
1.9265766143798828,0.5203333333333333,0.5216,0.5082
2.068650960922241,0.5229111111111111,0.5162,0.5142
2.079601287841797,0.5264666666666666,0.5186,0.5173
1.7279870510101318,0.5317777777777778,0.5294,0.5248
2.050863742828369,0.5328444444444445,0.5316,0.527
2.0864109992980957,0.5226,0.5268,0.5234
2.123908519744873,0.5356666666666666,0.5346,0.5384
2.1020212173461914,0.5387555555555555,0.5266,0.5383
2.0428407192230225,0.5377777777777778,0.5314,0.531
1.9271433353424072,0.5428666666666667,0.5356,0.531
1.9389015436172485,0.5448888888888889,0.534,0.5347
2.0290002822875977,0.5435333333333333,0.5364,0.5305
1.9472839832305908,0.5484666666666667,0.538,0.5391
1.9116790294647217,0.5452222222222223,0.5482,0.5412
2.3131871223449707,0.5508,0.5492,0.5383
1.877540111541748,0.5528222222222222,0.5508,0.5478
