loss,Train,Validation,Test
2.085235595703125,0.23086666666666666,0.2294,0.2442
2.2993154525756836,0.3192,0.326,0.3501
2.037461042404175,0.3728666666666667,0.3818,0.3904
2.172308921813965,0.44524444444444444,0.4506,0.4574
1.9321151971817017,0.5069111111111111,0.5004,0.5019
1.9532667398452759,0.5324888888888889,0.519,0.5134
2.185373544692993,0.5477333333333333,0.548,0.5299
1.984170913696289,0.5897333333333333,0.5844,0.5691
1.679152250289917,0.5770888888888889,0.5732,0.5539
1.9896365404129028,0.5854666666666667,0.582,0.5573
1.8186659812927246,0.5988444444444444,0.5972,0.583
1.7017695903778076,0.6091333333333333,0.5942,0.5983
1.7932312488555908,0.6161333333333333,0.6122,0.6019
2.1600403785705566,0.6463555555555556,0.6388,0.6279
2.015876293182373,0.6411111111111111,0.6456,0.6169
1.9332252740859985,0.6413777777777778,0.6422,0.608
1.9531890153884888,0.6569111111111111,0.6532,0.6259
1.829477310180664,0.6080666666666666,0.6104,0.5957
1.7851554155349731,0.6667777777777778,0.6636,0.6465
1.9608629941940308,0.6631111111111111,0.663,0.6603
1.8454656600952148,0.6826444444444445,0.6786,0.6612
1.992323637008667,0.6800222222222222,0.6768,0.6526
1.7352468967437744,0.6789333333333334,0.6734,0.6463
1.7602484226226807,0.6994,0.6968,0.6783
1.5582776069641113,0.6928,0.6862,0.67
1.7722588777542114,0.7006666666666667,0.6946,0.6765
1.9978348016738892,0.7034888888888889,0.7038,0.6754
1.4717952013015747,0.7091333333333333,0.7084,0.6878
1.9105570316314697,0.7046666666666667,0.7038,0.6788
1.980155348777771,0.7105555555555556,0.7042,0.6925
1.728140115737915,0.6989777777777778,0.6888,0.6742
1.9821677207946777,0.6848444444444445,0.6806,0.6729
1.8465536832809448,0.7115777777777778,0.7126,0.6812
1.61691153049469,0.7301777777777778,0.733,0.709
1.884326696395874,0.7274666666666667,0.7288,0.7058
1.643787145614624,0.7226888888888889,0.7256,0.6866
1.8293063640594482,0.7414,0.7294,0.7209
2.064101457595825,0.7178666666666667,0.7212,0.6925
1.873451590538025,0.7248888888888889,0.7246,0.7165
1.673824429512024,0.7301777777777778,0.729,0.6906
1.4786567687988281,0.7456,0.7388,0.7145
1.9433234930038452,0.7387555555555556,0.74,0.7143
1.5969973802566528,0.7455111111111111,0.742,0.7216
1.8491853475570679,0.7497555555555555,0.7534,0.7233
1.702633023262024,0.7464888888888889,0.7424,0.7281
1.7917617559432983,0.7543777777777778,0.7492,0.7349
1.7103177309036255,0.7608,0.7454,0.7349
1.707069993019104,0.7599555555555556,0.7476,0.7291
1.6795424222946167,0.7595111111111111,0.761,0.7258
1.5892062187194824,0.7597333333333334,0.7494,0.7321
1.6077145338058472,0.7593333333333333,0.7566,0.721
1.5047826766967773,0.7762444444444444,0.7694,0.7443
1.9058575630187988,0.7702444444444444,0.7726,0.7423
1.971670389175415,0.7768222222222222,0.7734,0.7468
1.626603364944458,0.7743111111111111,0.7696,0.7461
1.6737942695617676,0.7873777777777777,0.7782,0.7577
1.6174367666244507,0.7836444444444445,0.7808,0.7542
1.4654161930084229,0.7862666666666667,0.7862,0.7452
1.7061841487884521,0.7732222222222223,0.7684,0.74
1.9850531816482544,0.7913777777777777,0.7774,0.7616
1.7089576721191406,0.7985333333333333,0.7942,0.7603
1.8370442390441895,0.7987111111111111,0.7968,0.7661
1.7651922702789307,0.8039333333333334,0.7952,0.7654
1.7069910764694214,0.8042444444444444,0.7938,0.7679
1.7273269891738892,0.8122444444444444,0.8096,0.7679
1.728512167930603,0.8135333333333333,0.797,0.7704
1.7098395824432373,0.8174,0.8034,0.7789
1.8787554502487183,0.8134888888888889,0.8076,0.7708
1.7021033763885498,0.8240222222222222,0.8114,0.7818
1.7035071849822998,0.8275555555555556,0.8176,0.7822
1.5795754194259644,0.8345555555555556,0.8276,0.7978
1.6891865730285645,0.8342444444444445,0.8236,0.7939
1.8962485790252686,0.8291777777777778,0.8192,0.7822
1.5263711214065552,0.8433777777777778,0.8272,0.7918
1.8414043188095093,0.846,0.8314,0.7991
1.9584814310073853,0.8455555555555555,0.831,0.8049
1.7116196155548096,0.8527333333333333,0.8396,0.8078
1.7081249952316284,0.8572666666666666,0.8376,0.8102
1.6762017011642456,0.8576222222222222,0.847,0.8091
1.4647183418273926,0.8619555555555556,0.8394,0.8092
1.8357486724853516,0.8679333333333333,0.8446,0.8145
1.7111341953277588,0.8700666666666667,0.8446,0.8118
1.698410987854004,0.875,0.854,0.8182
1.8072282075881958,0.8727333333333334,0.8524,0.8168
1.7638427019119263,0.8766666666666667,0.8534,0.8176
1.6855298280715942,0.8797111111111111,0.8536,0.82
1.6127842664718628,0.8837111111111111,0.8566,0.8187
1.6900557279586792,0.8890222222222223,0.8582,0.827
1.7242462635040283,0.8912,0.8612,0.8282
1.4814690351486206,0.8919111111111111,0.8624,0.8278
1.587265133857727,0.8908,0.864,0.8298
1.7218960523605347,0.8949777777777778,0.8644,0.8342
1.6878464221954346,0.8962222222222223,0.8688,0.8351
1.6113829612731934,0.8982444444444444,0.8652,0.8356
1.6005319356918335,0.8976222222222222,0.8626,0.8348
1.7193905115127563,0.8984222222222222,0.8634,0.836
1.5825293064117432,0.8997777777777778,0.864,0.8361
1.4611685276031494,0.9004,0.8688,0.8365
1.55757474899292,0.8997333333333334,0.8696,0.8362
1.5912487506866455,0.8993333333333333,0.869,0.8358
