loss,Train,Validation,Test
2.4039058685302734,0.297,0.3018,0.3178
2.3310489654541016,0.2765111111111111,0.2914,0.3036
2.0803751945495605,0.34742222222222224,0.3528,0.368
1.7853180170059204,0.3605111111111111,0.3552,0.372
2.0830068588256836,0.38764444444444446,0.3942,0.4088
1.9536869525909424,0.40984444444444446,0.42,0.4286
2.194359540939331,0.43277777777777776,0.4348,0.4293
2.0772416591644287,0.4572222222222222,0.4628,0.4424
2.0006492137908936,0.47304444444444443,0.4788,0.4638
2.2083001136779785,0.5115333333333333,0.5154,0.5158
1.8509254455566406,0.5275777777777778,0.5266,0.5311
1.7783546447753906,0.5123555555555556,0.5138,0.5184
1.9177120923995972,0.5713555555555555,0.5632,0.5671
1.9419535398483276,0.5745333333333333,0.5706,0.5511
1.8082342147827148,0.5852222222222222,0.5844,0.5601
1.8099777698516846,0.5820888888888889,0.5828,0.5749
1.7815450429916382,0.6242888888888889,0.624,0.6066
1.8363083600997925,0.6207555555555555,0.6198,0.6127
2.120123863220215,0.6238666666666667,0.6232,0.6199
1.7248660326004028,0.6275333333333334,0.615,0.6143
1.8847122192382812,0.6349111111111111,0.6326,0.6183
1.6362167596817017,0.6320666666666667,0.6226,0.6106
1.9192613363265991,0.6397777777777778,0.6422,0.6205
2.072359561920166,0.6339555555555556,0.6366,0.629
1.7871949672698975,0.6499111111111111,0.6412,0.6274
1.8107014894485474,0.6478,0.6398,0.6392
2.297781229019165,0.6724,0.6702,0.6515
1.9608592987060547,0.6566888888888889,0.6444,0.6525
2.003793239593506,0.6727777777777778,0.66,0.6569
1.9284114837646484,0.6859555555555555,0.6934,0.6694
1.8264107704162598,0.6774,0.687,0.6713
2.1869916915893555,0.682,0.6772,0.6518
2.044234037399292,0.7062666666666667,0.7098,0.6915
1.849246859550476,0.6986,0.6972,0.6806
1.8374203443527222,0.7082222222222222,0.7118,0.6858
1.6917331218719482,0.7073333333333334,0.7096,0.6847
1.9033889770507812,0.7186666666666667,0.7128,0.7088
1.7774174213409424,0.7291111111111112,0.7242,0.709
1.721834659576416,0.726,0.7162,0.7141
1.6987824440002441,0.7389555555555556,0.737,0.7251
1.8405475616455078,0.7159333333333333,0.7084,0.7013
1.8382329940795898,0.7231777777777778,0.7128,0.6976
1.8411355018615723,0.7262666666666666,0.7198,0.7122
1.717631459236145,0.7282666666666666,0.7254,0.7071
1.6709212064743042,0.7322666666666666,0.729,0.7061
1.9278645515441895,0.7471555555555556,0.7494,0.7262
2.017458438873291,0.7450444444444444,0.7368,0.7335
1.8992326259613037,0.7371555555555556,0.7356,0.7096
1.8331377506256104,0.7443777777777778,0.7348,0.7255
1.8540527820587158,0.7585111111111111,0.7532,0.7353
1.8322412967681885,0.7519333333333333,0.7436,0.7365
2.0291881561279297,0.7555777777777778,0.7418,0.7288
1.6738481521606445,0.7728,0.7608,0.7661
1.7375950813293457,0.7616444444444445,0.749,0.7354
2.044126510620117,0.7744,0.7654,0.748
1.5857367515563965,0.7785333333333333,0.764,0.7663
1.4617371559143066,0.7761555555555556,0.7618,0.7534
1.8530789613723755,0.7757777777777778,0.7648,0.7494
1.9649245738983154,0.7874444444444444,0.7698,0.7543
1.621093988418579,0.7842444444444444,0.78,0.7563
1.6779189109802246,0.7881555555555556,0.7738,0.7527
1.7767267227172852,0.7818888888888889,0.7668,0.7436
2.1774697303771973,0.7913777777777777,0.7818,0.7602
1.5016504526138306,0.7938888888888889,0.792,0.7514
1.6751095056533813,0.8028444444444445,0.7838,0.7723
1.7099809646606445,0.8018666666666666,0.7918,0.7661
1.9511522054672241,0.7937333333333333,0.7772,0.7725
1.7436429262161255,0.8103555555555556,0.7978,0.7732
1.6822969913482666,0.8126666666666666,0.7988,0.7833
1.5423914194107056,0.8103111111111111,0.7952,0.7777
1.7430622577667236,0.8194666666666667,0.802,0.7864
1.8962123394012451,0.8281333333333334,0.811,0.7956
1.697618007659912,0.8277111111111111,0.8152,0.788
1.4636778831481934,0.8307111111111111,0.8106,0.7894
1.7927072048187256,0.8343555555555555,0.8208,0.7918
1.6855082511901855,0.8385333333333334,0.818,0.7953
1.8113188743591309,0.8448666666666667,0.828,0.8019
1.7141424417495728,0.8456222222222223,0.8298,0.8056
1.461191177368164,0.8466222222222223,0.8258,0.8092
1.8138668537139893,0.8528,0.8314,0.81
1.5909385681152344,0.8580666666666666,0.8318,0.8084
1.7575078010559082,0.8584888888888889,0.831,0.8098
1.8236981630325317,0.8628,0.8398,0.8135
1.6683908700942993,0.8655555555555555,0.8456,0.8202
1.4743467569351196,0.8692222222222222,0.8472,0.8159
1.5877227783203125,0.8720888888888889,0.8468,0.818
1.5057493448257446,0.8724444444444445,0.8472,0.8184
1.56058931350708,0.8759555555555556,0.8468,0.8158
1.709175944328308,0.8747111111111111,0.8472,0.8191
1.6389753818511963,0.8812222222222222,0.853,0.8215
1.4962515830993652,0.8810222222222223,0.8526,0.8212
1.7937918901443481,0.8829777777777778,0.8526,0.8257
1.8017812967300415,0.8848666666666667,0.8584,0.8226
1.6049164533615112,0.8860444444444444,0.861,0.8258
1.6250265836715698,0.8851333333333333,0.8558,0.8267
1.5781601667404175,0.8866,0.8532,0.8259
1.6718413829803467,0.8875111111111111,0.854,0.8263
1.596907377243042,0.8884888888888889,0.8612,0.8282
1.5771269798278809,0.8888,0.8544,0.8283
1.8104194402694702,0.8884,0.856,0.8285
