loss,Train,Validation,Test
1.7791578769683838,0.3950444444444444,0.3958,0.4048
1.5870894193649292,0.4752222222222222,0.486,0.479
0.9075779318809509,0.48075555555555555,0.4782,0.4925
0.757577657699585,0.5663777777777778,0.5722,0.559
1.5846658945083618,0.6001777777777778,0.608,0.5768
1.8980498313903809,0.6420222222222223,0.6294,0.6257
0.5287442207336426,0.6725333333333333,0.67,0.649
0.36588847637176514,0.6988888888888889,0.6864,0.6661
1.3443522453308105,0.6828888888888889,0.68,0.6638
1.346718668937683,0.7679333333333334,0.7498,0.7377
0.6351014375686646,0.7702888888888889,0.7526,0.7316
0.5169856548309326,0.7676,0.7466,0.7164
0.8845738172531128,0.7704222222222222,0.7496,0.7449
0.683368980884552,0.8260444444444445,0.7934,0.7815
0.5670811533927917,0.8322888888888889,0.7992,0.791
0.39836156368255615,0.7859555555555555,0.7576,0.7516
1.2492704391479492,0.8312444444444445,0.795,0.7677
0.4462401270866394,0.8435333333333334,0.794,0.8029
0.6774499416351318,0.8337777777777777,0.7958,0.7947
0.37647297978401184,0.8659333333333333,0.8214,0.8094
0.5483506917953491,0.8699777777777777,0.8266,0.8271
0.6909157633781433,0.8395777777777778,0.7946,0.7779
0.45510849356651306,0.8464,0.8028,0.7884
0.03310117870569229,0.8716888888888888,0.8142,0.8156
1.4996212720870972,0.8750444444444444,0.8274,0.8086
1.2158745527267456,0.8826,0.8272,0.8004
0.17099595069885254,0.8987555555555555,0.8414,0.8383
0.08001243323087692,0.8995555555555556,0.8404,0.8429
1.2573444843292236,0.8944,0.8404,0.8297
0.22183188796043396,0.9034444444444445,0.8404,0.8245
0.39337044954299927,0.9210888888888888,0.8562,0.8452
0.576102077960968,0.9087333333333333,0.8464,0.8274
0.13632197678089142,0.9187111111111111,0.8532,0.8293
0.37714052200317383,0.9229555555555555,0.858,0.8425
0.15869101881980896,0.9063555555555556,0.8416,0.8248
0.053241532295942307,0.9374,0.8672,0.8663
0.43515515327453613,0.9226666666666666,0.8548,0.8427
0.05689079314470291,0.9291333333333334,0.8582,0.8467
0.430259108543396,0.9312444444444444,0.8528,0.8478
0.3243313729763031,0.8843333333333333,0.8012,0.8052
0.048756372183561325,0.9407555555555556,0.8592,0.8555
0.013522867113351822,0.9552666666666667,0.8762,0.8566
0.6877169013023376,0.9419111111111111,0.8598,0.8573
1.4215761423110962,0.9323555555555556,0.848,0.838
0.39858490228652954,0.9576,0.87,0.855
0.1656929850578308,0.9436222222222223,0.8572,0.8401
1.1571406126022339,0.9507111111111111,0.8606,0.8535
0.5090682506561279,0.9504444444444444,0.8648,0.8541
0.12199819087982178,0.9490444444444445,0.8606,0.8472
0.5141334533691406,0.9646444444444444,0.8734,0.8687
0.02603784389793873,0.9632222222222222,0.8704,0.853
0.31295791268348694,0.9659333333333333,0.8746,0.8608
0.05733650550246239,0.9718888888888889,0.8708,0.8728
0.04158775880932808,0.9397777777777778,0.8488,0.8395
0.005808036308735609,0.9617333333333333,0.866,0.8616
0.13418015837669373,0.9719777777777778,0.8698,0.8708
0.45077580213546753,0.9663333333333334,0.8638,0.847
0.35860735177993774,0.9762444444444445,0.8678,0.8648
0.2643650472164154,0.9693333333333334,0.8652,0.8665
0.49875718355178833,0.9760444444444445,0.8754,0.8737
0.07698775827884674,0.977,0.884,0.8695
0.005336481146514416,0.9635111111111111,0.8498,0.8579
0.03414570540189743,0.971,0.8686,0.8595
0.0017991430358961225,0.9822888888888889,0.8808,0.8577
0.024751335382461548,0.9845111111111111,0.885,0.8754
0.17509926855564117,0.9842444444444445,0.8778,0.8724
0.04351405054330826,0.9890444444444444,0.8882,0.8742
0.01362096518278122,0.9808444444444444,0.8754,0.8622
0.003135692561045289,0.9846666666666667,0.8812,0.8743
0.03522748127579689,0.9904222222222222,0.8818,0.8818
0.47536876797676086,0.9876888888888888,0.8888,0.8753
0.001342692645266652,0.9923555555555555,0.8892,0.8837
0.001384313334710896,0.9902,0.8876,0.8748
0.0004268146585673094,0.9942222222222222,0.8942,0.8815
0.05986913666129112,0.9946,0.8922,0.8895
0.008366269990801811,0.9946222222222222,0.8874,0.8833
0.004241062328219414,0.9899333333333333,0.8862,0.8701
0.00026314478600397706,0.9955555555555555,0.8902,0.8831
0.008198847994208336,0.9961777777777778,0.8934,0.8847
0.0005633336259052157,0.9974444444444445,0.8902,0.8889
0.5191923379898071,0.9946888888888888,0.8872,0.8796
0.03315335512161255,0.9982444444444445,0.8968,0.8918
0.00016358544235117733,0.9982,0.9008,0.8911
0.0012235990725457668,0.9988444444444444,0.9044,0.8941
6.981940532568842e-05,0.9987777777777778,0.8994,0.8812
0.0002421351382508874,0.9978444444444444,0.8962,0.884
2.3975509975571185e-05,0.9995333333333334,0.9058,0.895
0.0010713801020756364,0.9996222222222222,0.9032,0.894
2.826654599630274e-05,0.9996,0.8996,0.8945
0.00010390683746663854,0.9995111111111111,0.9036,0.8949
3.754892532015219e-05,0.9998,0.9038,0.9004
0.00015905451436992735,0.9998222222222222,0.9058,0.8979
5.629049337585457e-05,0.9998,0.9064,0.8951
4.087104389327578e-05,0.9999333333333333,0.9058,0.9
2.8533904696814716e-05,0.9999333333333333,0.908,0.9001
3.340569674037397e-05,0.9999777777777777,0.911,0.8997
2.489902726665605e-05,0.9999333333333333,0.9102,0.9001
1.583967787155416e-05,1.0,0.91,0.9004
5.3907002438791096e-05,0.9999333333333333,0.9108,0.9016
6.516521534649655e-05,1.0,0.9114,0.9014
